,True_Label,Predicted_results,action
0,0,0,No action
1,1,0,No action
2,0,1,Buy
3,1,1,Holding
4,1,1,Holding
5,0,0,Holding
6,1,1,Holding
7,0,0,Holding
8,1,0,sell
9,1,1,Buy
10,1,1,Holding
11,0,1,Holding
12,1,1,Holding
13,1,1,Holding
14,0,0,Holding
15,0,0,sell
16,1,1,Buy
17,1,1,Holding
18,1,0,Holding
19,0,1,Holding
20,1,0,Holding
21,1,1,Holding
22,1,1,Holding
23,1,1,Holding
24,0,1,Holding
25,1,1,Holding
26,1,0,Holding
27,1,0,sell
28,0,0,No action
29,1,1,Buy
30,1,1,Holding
31,1,0,Holding
32,0,1,Holding
33,0,1,Holding
34,0,1,Holding
35,0,0,Holding
36,1,1,Holding
37,0,0,Holding
38,1,0,sell
39,1,1,Buy
40,0,1,Holding
41,1,1,Holding
42,0,1,Holding
43,0,1,Holding
44,0,1,Holding
45,1,1,Holding
46,0,1,Holding
47,0,1,Holding
48,1,1,Holding
49,0,1,Holding
50,1,1,Holding
51,0,1,Holding
52,1,1,Holding
53,0,1,Holding
54,0,1,Holding
55,1,1,Holding
56,0,0,Holding
57,1,1,Holding
58,0,1,Holding
59,1,1,Holding
60,0,1,Holding
61,0,1,Holding
62,1,0,Holding
63,0,1,Holding
64,1,1,Holding
65,0,1,Holding
66,1,1,Holding
67,1,1,Holding
68,1,1,Holding
69,1,0,Holding
70,0,0,sell
71,1,1,Buy
72,1,0,Holding
73,0,1,Holding
74,0,1,Holding
75,1,1,Holding
76,0,1,Holding
77,1,1,Holding
78,1,1,Holding
79,0,1,Holding
80,1,0,Holding
81,0,1,Holding
82,0,0,Holding
83,1,0,sell
84,1,1,Buy
85,1,1,Holding
86,1,1,Holding
87,1,1,Holding
88,1,1,Holding
89,0,1,Holding
90,0,1,Holding
91,1,1,Holding
92,1,0,Holding
93,1,1,Holding
94,0,1,Holding
95,1,1,Holding
96,0,0,Holding
97,1,0,sell
98,1,1,Buy
99,1,1,Holding
100,0,1,Holding
101,1,1,Holding
102,1,1,Holding
103,1,1,Holding
104,1,1,Holding
105,0,0,Holding
106,1,1,Holding
107,1,1,Holding
108,1,0,Holding
109,1,1,Holding
110,0,1,Holding
111,1,0,Holding
112,1,1,Holding
113,1,0,Holding
114,1,1,Holding
115,1,1,Holding
116,1,1,Holding
117,1,0,Holding
118,1,0,sell
119,0,0,No action
120,1,1,Buy
121,0,1,Holding
122,1,1,Holding
123,1,0,Holding
124,1,1,Holding
125,1,1,Holding
126,1,0,Holding
127,0,0,sell
128,1,0,No action
129,1,1,Buy
130,1,0,Holding
131,0,0,sell
132,1,1,Buy
133,1,0,Holding
134,0,1,Holding
135,1,0,Holding
136,1,0,sell
137,0,1,Buy
138,1,0,Holding
139,0,1,Holding
140,0,0,Holding
141,1,0,sell
142,0,1,Buy
143,1,0,Holding
144,1,1,Holding
145,1,1,Holding
146,1,0,Holding
147,1,1,Holding
148,1,1,Holding
149,1,1,Holding
150,0,0,Holding
151,0,1,Holding
152,0,1,Holding
153,1,0,Holding
154,1,1,Holding
155,0,0,Holding
156,1,1,Holding
157,1,1,Holding
158,0,1,Holding
159,1,1,Holding
160,1,0,Holding
161,1,0,sell
162,1,0,No action
163,1,1,Buy
164,0,0,Holding
165,1,1,Holding
166,1,1,Holding
167,1,1,Holding
168,1,0,Holding
169,0,1,Holding
170,0,1,Holding
171,0,1,Holding
172,1,0,Holding
173,0,0,sell
174,0,1,Buy
175,1,1,Holding
176,1,0,Holding
177,0,1,Holding
178,0,0,Holding
179,0,0,sell
180,0,1,Buy
181,1,1,Holding
182,0,1,Holding
183,1,1,Holding
184,1,1,Holding
185,1,1,Holding
186,0,1,Holding
187,1,1,Holding
188,1,1,Holding
189,0,1,Holding
190,1,1,Holding
191,0,1,Holding
192,1,0,Holding
193,1,1,Holding
194,1,1,Holding
195,1,1,Holding
196,0,1,Holding
197,0,1,Holding
198,0,1,Holding
199,0,0,Holding
200,0,1,Holding
201,1,0,Holding
202,0,0,sell
203,1,0,No action
204,1,0,No action
205,0,0,No action
206,1,0,No action
207,0,1,Buy
208,1,0,Holding
209,0,0,sell
210,1,1,Buy
211,1,1,Holding
212,1,1,Holding
213,1,1,Holding
214,1,1,Holding
215,0,0,Holding
216,0,0,sell
217,1,1,Buy
218,0,0,Holding
219,1,1,Holding
220,1,1,Holding
221,0,1,Holding
222,0,1,Holding
223,1,0,Holding
224,0,1,Holding
225,1,0,Holding
226,1,1,Holding
227,1,1,Holding
228,1,1,Holding
229,0,1,Holding
230,1,1,Holding
231,0,1,Holding
232,1,0,Holding
233,1,1,Holding
234,1,1,Holding
235,1,1,Holding
236,0,1,Holding
237,1,1,Holding
238,0,0,Holding
239,1,0,sell
240,1,0,No action
241,1,1,Buy
242,1,1,Holding
243,0,1,Holding
244,0,0,Holding
245,1,1,Holding
246,0,0,Holding
247,1,0,sell
248,1,0,No action
249,0,0,No action
250,1,0,No action
251,1,1,Buy
252,0,0,sell
